id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,32,2827,21,19.70341106131673,13,7.34593310020864,126,45,1,0,F,Tottenham,17,16.65873559191823,23.317429882474244,4.318034618161619
1250,Mohamed Salah,34,2815,21,18.342733515426517,4,5.720731806010008,112,47,0,0,F M S,Liverpool,15,13.775720516219735,25.87207045406103,9.338338511064649
1228,Bruno Fernandes,36,3027,18,15.755829584784806,11,11.460348032414913,115,94,5,0,M S,Manchester United,9,8.144214750267565,26.18472911976278,11.332602957263589
453,Son Heung-Min,34,2869,17,10.848620999604464,10,9.143786175176501,65,68,0,0,F M S,Tottenham,16,10.087452147156,19.97033627703786,6.268807960674167
5555,Dominic Calvert-Lewin,30,2608,16,17.167243022471666,0,1.9790722467005253,75,17,3,0,F S,Everton,16,17.167243022471666,18.498458549380302,4.035044580698013
822,Patrick Bamford,35,2892,15,16.574155781418085,7,3.6444675344973803,100,28,3,0,F,Leeds,14,15.812986955046654,21.95034945756197,3.864322504028678
755,Jamie Vardy,32,2668,13,18.192518953233957,9,5.087881522253156,77,28,1,0,F S,Leicester,7,12.864337112754583,18.096152685582638,2.394785463809967
3277,Alexandre Lacazette,30,1928,13,12.028909418731928,2,2.209213115274906,45,22,3,0,F M S,Arsenal,10,9.745402876287699,14.361542394384742,2.9379407837986946
8865,Ollie Watkins,34,3060,13,15.34921059757471,4,4.618962111882865,91,39,2,1,F,Aston Villa,12,13.82687296718359,20.077412359416485,5.012099118903279
314,Ilkay Gündogan,26,1882,12,8.832461603917181,1,3.610129689797759,49,38,1,0,M S,Manchester City,11,7.310123869217932,18.226930163800716,9.81162566691637
468,Callum Wilson,26,2079,12,13.59009125083685,5,3.046300631016493,49,17,2,0,F S,Newcastle United,8,10.545415870845318,14.205592930316925,1.0525451973080635
986,Danny Ings,26,2013,12,7.952420797199011,4,2.2491161515936255,52,21,1,0,F S,Southampton,10,6.4300830736756325,9.703507600352168,1.9795464240014553
4456,Chris Wood,30,2518,12,12.453611824661493,3,1.9581525810062885,65,21,0,0,F S,Burnley,10,10.931274089962244,13.043226011097431,2.1301593221724033
556,Marcus Rashford,36,2914,11,9.579709991812706,9,4.185122115537524,79,44,4,0,F M S,Manchester United,11,9.579709991812706,20.441910162568092,8.927207557484508
620,Kelechi Iheanacho,23,1334,11,8.638898958452046,2,3.497371606528759,54,26,1,0,F S,Leicester,11,7.877730120904744,13.401186440140009,3.2854532599449158
318,Pierre-Emerick Aubameyang,27,2164,10,9.657305888831615,3,2.3524065418168902,53,19,2,0,F M S,Arsenal,8,8.134968228638172,14.242215191945434,3.955129318870604
522,Wilfried Zaha,27,2345,10,8.35733626037836,2,3.372083632275462,52,25,5,0,F M S,Crystal Palace,8,6.8349986001849174,12.623472683131695,3.1685666274279356
618,Raheem Sterling,29,2359,10,11.763264082372189,6,5.766764298081398,68,34,3,0,F M S,Manchester City,10,11.002095226198435,23.50405678525567,10.942846529185772
7153,Matheus Pereira,31,2414,10,6.634749377146363,5,6.046564646065235,57,54,2,1,M S,West Bromwich Albion,6,3.590073924511671,10.037578923627734,3.3671833779662848
531,Michail Antonio,23,1743,9,13.015610855072737,5,3.006022961810231,56,24,3,0,F S,West Ham,9,13.015610855072737,17.60216599330306,2.345082100480795
558,Jesse Lingard,13,1164,9,5.02112340927124,3,1.777623189613223,36,12,3,0,F M,West Ham,8,3.4987857826054096,7.527247425168753,3.8693830892443657
750,Riyad Mahrez,25,1804,9,6.0307086342945695,4,5.404377521947026,54,42,0,0,F M S,Manchester City,9,6.0307086342945695,18.02916401065886,8.46899783052504
838,Sadio Mané,32,2535,9,12.691804388538003,5,7.168414896354079,86,52,3,0,F M S,Liverpool,9,12.691804388538003,22.29871542751789,5.251550579443574
2251,Gareth Bale,17,785,9,4.099020583555102,2,1.4099053852260113,30,14,1,0,M S,Tottenham,9,4.099020583555102,6.05177354067564,2.442213888745755
3294,Edinson Cavani,25,1267,9,8.588583774864674,3,2.0423992853611708,33,13,4,0,F S,Manchester United,9,8.588583774864674,11.940688118338585,2.7016380857676268
6681,Harvey Barnes,25,1954,9,6.697319919243455,4,1.7716880273073912,56,26,0,0,F M S,Leicester,9,6.697319919243455,8.893774410709739,1.5948405284434557
6854,Diogo Jota,18,1113,9,7.05772053822875,0,1.7625210750848055,46,12,2,0,F M S,Liverpool,9,7.05772053822875,10.972974702715874,4.0760964918881655
