id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2097,Lionel Messi,28,2387,23,21.427332930266857,8,9.08568288385868,158,65,4,0,F M S,Barcelona,20,18.454222671687603,30.55762656778097,15.468010265380144
2370,Karim Benzema,28,2385,21,18.129178697243333,7,5.801605939865112,105,28,2,0,F S,Real Madrid,20,17.38590102829039,25.57300640642643,5.386501168832183
2120,Gerard Moreno,27,2279,20,17.62079307436943,5,6.642808813601732,86,37,3,0,F M S,Villarreal,11,10.931422270834446,20.85876489430666,5.976149579510093
2098,Luis Suárez,26,2076,19,14.33941730670631,2,2.50068280659616,82,22,5,0,F S,Atletico Madrid,16,12.109584463760257,14.466090515255928,1.076400637626648
5169,Youssef En-Nesyri,32,1951,17,14.764153148978949,0,2.6420645620673895,65,13,2,0,F S,Sevilla,17,14.764153148978949,16.43593978509307,0.676678815856576
5232,Alexander Isak,27,1894,13,12.820988938212395,2,1.740408810786903,62,9,4,0,F S,Real Sociedad,13,12.820988938212395,15.243906008079648,2.2973174192011356
2290,Iago Aspas,27,2372,12,10.64390006288886,10,7.9555024560540915,44,52,6,0,F M,Celta Vigo,8,7.671045389026403,22.637081313878298,10.781196245923638
2589,Rafa Mir,31,2277,12,13.02787259593606,1,0.7851439956575632,92,9,2,0,F M S,SD Huesca,10,10.798039678484201,11.607449479401112,2.0353721100836992
2186,Morales,32,2160,11,6.996263427659869,3,4.0653836242854595,48,29,2,0,F M S,Levante,11,6.253113737329841,11.384775156155229,2.85909063834697
2518,Marcos Llorente,30,2348,11,3.9759664572775364,8,4.236469075083733,38,31,5,0,D F M S,Atletico Madrid,11,3.9759664572775364,14.642354037612677,8.339766992256045
2566,Roger,28,1861,11,8.227972852997482,2,2.055453944951296,39,14,3,0,F S,Levante,9,5.25486237835139,10.294992793351412,3.557487134821713
2234,Mikel Oyarzabal,26,1918,10,10.191491316072643,7,6.239351566880941,55,40,1,0,F M S,Real Sociedad,4,4.988675805740058,15.245522134006023,7.850909434258938
866,Joselu,31,2579,8,10.22395347431302,2,2.907543882727623,80,24,1,0,F S,Alaves,6,7.250970903784037,8.262992458418012,0.5228645540773869
2270,Antoine Griezmann,28,1965,8,9.062062714248896,6,5.7726064920425415,55,32,3,0,F M S,Barcelona,8,8.318785104900599,19.406996302306652,10.119845483452082
2384,Santi Mina,27,1833,8,8.004378464072943,1,2.1285441387444735,35,10,4,0,F S,Celta Vigo,8,8.004378464072943,11.422543277963996,2.6492245234549046
2478,Carlos Soler,26,2207,8,8.581282386556268,5,3.414533581584692,29,38,5,0,M S,Valencia,1,1.8920396361500025,6.217403138056397,4.233890222385526
2571,Sergio Canales,26,2143,8,5.47045692242682,6,5.495132222771645,42,52,4,0,M S,Real Betis,6,3.2407519686967134,10.315277647227049,4.86552351526916
