id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8636,Jonathan Christian David,16,1145,10,10.053038399666548,0,1.8396522756665945,30,16,1,0,F S,Lille,8,7.772753160446882,10.291436716914177,1.8580232337117195
3746,Gaetan Laborde,16,1385,9,9.705221183598042,2,3.022586364299059,57,18,2,0,F M,"Montpellier,Rennes",9,9.705221183598042,11.810295378789306,1.0812422335147858
3210,Wissam Ben Yedder,16,988,8,6.221908342093229,2,2.1176547203212976,20,13,1,0,F S,Monaco,4,3.181527730077505,6.438283851370215,1.3387424275279045
3423,Kylian Mbappe-Lottin,15,1330,8,10.213687140494585,7,5.390465062111616,58,30,3,0,F,Paris Saint Germain,7,9.453592021018267,16.312194764614105,4.730163674801588
6401,Amine Gouiri,16,1251,8,8.460429485887289,4,3.118933138437569,37,28,1,0,F M S,Nice,6,5.420048892498016,8.058989949524403,2.4610578007996082
6905,Ludovic Ajorque,15,1194,8,6.612826496362686,5,2.353828527033329,29,15,2,1,F S,Strasbourg,6,5.092636201530695,8.93482095003128,2.069346357136965
9646,Mohamed Bayo,15,1179,8,6.147193185985088,2,1.9008004516363144,35,16,0,0,F S,Clermont Foot,8,6.147193185985088,8.32843329012394,1.8638557195663452
734,Wahbi Khazri,16,1270,7,3.812615431845188,0,2.1450281916186213,33,21,2,0,F M S,Saint-Etienne,4,1.5323299951851368,3.155515693128109,0.8257598867639899
3475,Ludovic Blas,15,1326,7,5.196194767951965,0,1.851681049913168,37,17,4,0,F M,Nantes,5,3.676004469394684,7.0843406319618225,1.9383739922195673
3530,Andy Delort,15,1258,7,7.782398568466306,2,4.10481440089643,58,26,3,0,F S,"Montpellier,Nice",6,7.02236901409924,10.018292846158147,1.752538613975048
5769,Habib Diallo,15,808,7,5.883880341425538,0,1.7576022520661354,25,7,2,0,F S,Strasbourg,6,5.123785192146897,6.848371000960469,1.2839673087000847
536,Dimitri Payet,12,1022,6,3.3356853537261486,6,5.054721765220165,31,47,0,0,F M S,Marseille,5,2.5755902267992496,8.374825686216354,3.4171168506145477
6420,Romain Faivre,15,1332,6,4.881026674062014,5,2.209820207208395,26,23,1,0,M,Brest,2,1.8406461477279663,5.853323608636856,2.877438871189952
7365,Lucas Paquetá,15,1084,6,5.91370365396142,2,1.3443307615816593,43,16,3,0,F M S,Lyon,5,5.15360851213336,9.735939376056194,4.362099934369326
8995,Hugo Ekitike,14,666,6,4.434567809104919,1,0.6250264393165708,17,7,1,1,F M S,Reims,6,4.434567809104919,4.532888755202293,0.1960470350459218
3549,Adrien Thomasson,14,1009,5,4.222316190600395,2,1.8389063589274883,21,13,1,1,M S,Strasbourg,5,4.222316190600395,8.878883562982082,3.8387190978974104
5611,Martin Terrier,15,1091,5,4.9608295522630215,0,1.9942367263138294,31,11,0,0,F M,Rennes,5,4.9608295522630215,10.099709339439869,5.668521631509066
5657,Karl Toko Ekambi,15,1185,5,5.13531357049942,2,3.2645841911435127,34,22,2,0,F M S,Lyon,3,3.6151232719421387,8.441407963633537,2.7828928604722023
7746,Hwang Ui-Jo,11,863,5,3.16255815140903,1,0.23245495557785034,19,4,0,0,F S,Bordeaux,5,3.16255815140903,4.050167590379715,0.8333774022758007
8657,Jeremy Le Douaron,16,689,5,3.0302722323685884,1,1.93774857185781,21,13,0,0,F M S,Brest,5,3.0302722323685884,3.4210534896701574,0.32074696104973555
1144,Seko Fofana,16,1429,4,3.583550819195807,0,1.2229951173067093,48,19,1,0,M,Lens,4,3.583550819195807,9.960332810878754,5.9121750965714455
1734,Sofiane Boufal,15,1182,4,4.336493859998882,2,3.852463487535715,26,26,2,0,F M S,Angers,3,3.576398710720241,5.606820842251182,1.4612704664468765
2442,Kevin Gameiro,14,904,4,4.63637712597847,1,0.7198403719812632,21,6,0,0,F M S,Strasbourg,3,3.116186872124672,5.4221346154809,2.171561239287257
3244,Nicolas de Preville,12,859,4,1.4260867331176996,1,0.7459403946995735,19,8,2,0,F M S,Metz,4,1.4260867331176996,2.467948507517576,0.45688455551862717
3314,Franck Honorat,16,1380,4,2.6637300895527005,3,4.0928082233294845,32,27,3,0,F M,Brest,4,2.6637300895527005,7.591783546842635,1.9204829558730125
3490,Thomas Mangani,16,1261,4,2.883965725079179,2,0.8126208074390888,9,16,4,0,M S,Angers,1,0.6036803666502237,3.2172338552773,2.960398506373167
3799,Wesley Said,9,338,4,3.8885208666324615,0,0.9422226697206497,16,10,2,0,F M S,Lens,4,3.8885208666324615,5.998055458068848,1.7371622174978256
3800,Steve Mounie,14,1166,4,6.830018665641546,1,0.7140165101736784,37,11,0,0,F S,Brest,4,6.830018665641546,8.622806377708912,2.6646310836076736
5677,Florent Mollet,15,1211,4,2.4321193136274815,1,1.3274961896240711,25,16,4,0,M S,Montpellier,4,2.4321193136274815,4.688149958848953,1.757363311946392
5743,Randal Kolo Muani,15,1242,4,4.935645326972008,2,1.730704483576119,21,12,1,0,F M S,Nantes,4,4.935645326972008,6.938925206661224,1.1520311776548624
6162,Cengiz Ünder,11,862,4,2.4475828409194946,0,1.7180480901151896,27,16,0,1,F M S,Marseille,4,2.4475828409194946,6.362223006784916,2.6281292513012886
6697,Armand Lauriente,13,940,4,2.5721527822315693,0,0.6238781614229083,24,12,1,0,F S,Lorient,3,1.8120576925575733,3.0066566839814186,1.207665603607893
6846,Sofiane Diop,15,1009,4,2.6919197998940945,0,0.7975249700248241,14,18,4,0,F M S,Monaco,4,2.6919197998940945,5.752953205257654,2.7525075618177652
6863,Téji Savanier,13,1112,4,2.5574439894407988,4,2.51243476010859,40,28,4,1,M,Montpellier,3,1.7973488587886095,4.493894573301077,2.3756557274609804
7142,Moussa Dembele,8,502,4,3.274731919169426,1,1.1252210028469563,14,7,1,0,F S,Lyon,3,2.5146367996931076,4.267408324405551,0.7191514801234007
7484,Stephy Mavididi,15,1229,4,2.808619223535061,2,2.119782015681267,31,14,0,0,F M S,Montpellier,4,2.808619223535061,5.057464269921184,0.7374096680432558
7763,Fabien Centonze,14,1260,4,0.8147915126755834,1,0.626758873462677,15,11,3,0,D M,Metz,4,0.8147915126755834,2.455055445432663,1.3033718522638083
8056,Arnaud Kalimuendo Muinga,13,681,4,2.8556174021214247,0,0.9127577347680926,17,9,1,1,F S,"Lens,Paris Saint Germain",3,2.0955222826451063,4.34779105335474,1.3800630802288651
8637,Burak Yilmaz,14,1048,4,5.854860993102193,3,3.7973658181726933,36,12,4,0,F S,Lille,3,5.094765858724713,8.259227875620127,1.2969895377755165
9630,Kamaldeen Sulemana,15,904,4,1.4879561644047499,2,2.152241710573435,19,18,3,0,F M S,Rennes,4,1.4879561644047499,5.732827642932534,2.3695401828736067
